"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent"
"144","Guadeloupe",152,NA,12,NA,95,45,6,380,30,NA,NA,"North America"
"145","Cabo Verde",152,30,2,1,18,132,NA,273,4,791,1423,"Africa"
"146","Myanmar",151,NA,6,NA,37,108,NA,3,0.1,8281,152,"Asia"
"147","Gibraltar",144,NA,NA,NA,132,12,NA,4274,NA,2711,80467,"Europe"
"148","Brunei",138,NA,1,NA,126,11,2,315,2,13924,31828,"Asia"
"149","Madagascar",135,3,NA,NA,97,38,1,5,NA,3393,123,"Africa"
"150","Ethiopia",133,NA,3,NA,69,61,NA,1,0.03,20770,181,"Africa"
"151","French Guiana",128,NA,1,NA,98,29,2,429,3,NA,NA,"South America"
"152","Togo",123,NA,9,NA,66,48,NA,15,1,7100,858,"Africa"
"153","Cambodia",122,NA,NA,NA,120,2,1,7,NA,12222,731,"Asia"
"154","Zambia",119,10,3,NA,75,41,1,6,0.2,5284,287,"Africa"
"155","Chad",117,44,10,5,39,68,NA,7,0.6,NA,NA,"Africa"
"156","Trinidad and Tobago",116,NA,8,NA,88,20,NA,83,6,1838,1313,"North America"
"157","Bermuda",114,NA,6,NA,48,60,4,1831,96,2791,44815,"North America"
"158","Eswatini",108,2,1,NA,12,95,NA,93,0.9,714,615,"Africa"
"159","Aruba",100,NA,2,NA,81,17,4,937,19,1731,16213,"North America"
"160","Monaco",95,NA,4,NA,73,18,1,2421,102,NA,NA,"Europe"
"161","Benin",90,NA,2,NA,42,46,NA,7,0.2,NA,NA,"Africa"
"162","Haiti",85,NA,8,NA,10,67,NA,7,0.7,848,74,"North America"
"163","Uganda",85,NA,NA,NA,52,33,NA,2,NA,33818,739,"Africa"
"164","Bahamas",82,1,11,NA,24,47,1,209,28,1313,3339,"North America"
"165","Guyana",82,NA,9,NA,22,51,2,104,11,579,736,"South America"
"166","Liechtenstein",82,NA,1,NA,55,26,NA,2151,26,900,23605,"Europe"
"167","Barbados",81,NA,7,NA,44,30,4,282,24,2369,8244,"North America"
"168","Mozambique",79,NA,NA,NA,18,61,NA,3,NA,2337,75,"Africa"
"169","Sint Maarten",76,NA,13,NA,44,19,7,1773,303,329,7673,"North America"
"170","Tajikistan",76,61,2,2,NA,74,NA,8,0.2,NA,NA,"Asia"
"171","Cayman Islands",74,NA,1,NA,10,63,3,1126,15,1927,29320,"North America"
"172","CAR",72,NA,NA,NA,10,62,NA,15,NA,NA,NA,"Africa"
"173","Libya",63,NA,3,NA,32,28,NA,9,0.4,2155,314,"Africa"
"174","Nepal",59,NA,NA,NA,16,43,NA,2,NA,61627,2115,"Asia"
"175","French Polynesia",58,NA,NA,NA,51,7,1,206,NA,2599,9252,"Australia/Oceania"
"176","Macao",45,NA,NA,NA,37,8,1,69,NA,NA,NA,"Asia"
"177","South Sudan",45,NA,NA,NA,NA,45,NA,4,NA,1247,111,"Africa"
"178","Syria",44,NA,3,NA,27,14,NA,3,0.2,NA,NA,"Asia"
"179","Eritrea",39,NA,NA,NA,26,13,NA,11,NA,NA,NA,"Africa"
"180","Mongolia",39,1,NA,NA,10,29,NA,12,NA,8022,2447,"Asia"
"181","Malawi",38,1,3,NA,9,26,1,2,0.2,831,43,"Africa"
"182","Saint Martin",38,NA,3,NA,27,8,3,983,78,NA,NA,"North America"
"183","Angola",35,5,2,NA,11,22,NA,1,0.06,481,15,"Africa"
"184","Zimbabwe",34,NA,4,NA,5,25,NA,2,0.3,7642,514,"Africa"
"185","Antigua and Barbuda",25,NA,3,NA,15,7,1,255,31,151,1542,"North America"
"186","Timor-Leste",24,NA,NA,NA,16,8,NA,18,NA,322,244,"Asia"
"187","Botswana",23,NA,1,NA,8,14,NA,10,0.4,7675,3264,"Africa"
"188","Grenada",21,1,NA,NA,13,8,4,187,NA,1406,12495,"North America"
"189","Laos",19,NA,NA,NA,9,10,NA,3,NA,2165,298,"Asia"
"190","Belize",18,NA,2,NA,13,3,1,45,5,1043,2623,"North America"
"191","Fiji",18,NA,NA,NA,14,4,NA,20,NA,1007,1123,"Australia/Oceania"
"192","New Caledonia",18,NA,NA,NA,17,1,1,63,NA,4947,17328,"Australia/Oceania"
"193","Gambia",17,5,1,NA,9,7,NA,7,0.4,401,166,"Africa"
"194","Saint Lucia",17,NA,NA,NA,15,2,NA,93,NA,446,2429,"North America"
"195","Curaçao",16,NA,1,NA,13,2,NA,98,6,351,2139,"North America"
